dataset	sample	source_layer	expression_scope	expression_scale	source_path	n_matrix_observations	n_labeled_observations	n_unmapped_observations	n_gene_rows_scanned	target_genes_present	target_genes_total	target_gene_coverage_fraction	broad_class_counts	matrix_nonzero_entries
GSE104323	10X_all_cells	full_raw_matrix	full_matrix_candidate_genes	raw_counts_or_reported_counts	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	24185	24185	0	27933	66	67	0.9850746268656716	dentate_candidate:9833;non_dentate_background:14352	
GSE95752	C1_all_cells	full_raw_matrix	full_matrix_candidate_genes	raw_counts_or_reported_counts	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz	2303	2303	0	16313	61	67	0.9104477611940298	dentate_candidate:987;dentate_low_support:768;other_or_ambiguous:548	
GSE292261	SS2_filtered_counts	full_raw_matrix	full_matrix_candidate_genes	raw_counts_or_reported_counts	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz	509	509	0	13101	56	67	0.835820895522388	dentate_candidate:196;dentate_low_support:309;other_or_ambiguous:4	
GSE214309	snRNA_counts	full_raw_matrix	full_matrix_candidate_genes	reported_counts_gene_symbols	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz	401	401	0	46615	64	67	0.9552238805970149	dentate_candidate:146;dentate_low_support:238;other_or_ambiguous:17	
GSE122357	GSM3464549_P0	full_raw_matrix	full_matrix_candidate_genes	raw_counts_or_reported_counts	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464549_P0.csv.gz	7468	7468	0	16963	64	67	0.9552238805970149	broad_neuronal_structural_warning:353;cerebellar_candidate:2678;other_or_ambiguous:4437	
GSE122357	GSM3464550_P8a	full_raw_matrix	full_matrix_candidate_genes	raw_counts_or_reported_counts	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464550_P8a.csv.gz	6088	6088	0	17313	64	67	0.9552238805970149	broad_neuronal_structural_warning:319;cerebellar_candidate:2082;other_or_ambiguous:3687	
GSE122357	GSM3464551_P8b	full_raw_matrix	full_matrix_candidate_genes	raw_counts_or_reported_counts	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464551_P8b.csv.gz	8168	8168	0	17321	64	67	0.9552238805970149	broad_neuronal_structural_warning:499;cerebellar_candidate:2697;other_or_ambiguous:4972	
GSE165657	Cerebellum_aggr	full_raw_matrix	full_matrix_candidate_genes	raw_counts	External_Data/GEO/GSE165657/GSE165657_Cerebellum_aggr_matrix.mtx.gz	73550	73550	0	32738	66	67	0.9850746268656716	broad_neuronal_structural_warning:12154;cerebellar_candidate:25064;other_or_ambiguous:36332	108932951.0
GSE312658	Ctrl	full_raw_matrix	full_matrix_candidate_genes	raw_counts	External_Data/GEO/GSE312658/GSM9350909_Ctrl_matrix.mtx.gz	4857	4857	0	32285	66	67	0.9850746268656716	broad_neuronal_structural_warning:596;cerebellar_candidate:1829;other_or_ambiguous:2432	10340803.0
GSE312658	cKO	full_raw_matrix	full_matrix_candidate_genes	raw_counts	External_Data/GEO/GSE312658/GSM9350910_cKO_matrix.mtx.gz	6946	6946	0	32285	66	67	0.9850746268656716	broad_neuronal_structural_warning:1494;cerebellar_candidate:2329;other_or_ambiguous:3123	15633030.0
GSE186538	selected_bridge_all_samples	selected_norm_bridge	selected_human_core_candidate_genes	log1p_cp10k_selected_genes	Project/processed/human_core_normalized_reduced_object/X_log1p_cp10k_selected_genes.npz	32004	32004	0	2169	67	67	1.0	dentate_candidate:32004	
GSE325391	selected_bridge_all_samples	selected_gene_bridge	selected_bridge_candidate_genes	raw_counts_selected_genes	Project/processed/gse325391_adult_dg_selected/matrix_cells_by_selected_genes.npz	59075	59075	0	2169	67	67	1.0	dentate_candidate:56808;excluded_low_qc:1756;non_dentate_background:511	
GSE268609	selected_bridge_all_samples	selected_gene_bridge	selected_bridge_candidate_genes	raw_counts_selected_genes	Project/processed/gse268609_rna_selected/matrix_cells_by_selected_genes.npz	366175	366175	0	2169	67	67	1.0	broad_neuronal_structural_warning:32081;dentate_candidate:32875;excluded_low_qc:271745;other_or_ambiguous:29474	
