dataset	sample	source_layer	expression_scope	expression_scale	source_species	source_path	n_matrix_observations	n_labeled_observations	n_unmapped_observations	n_gene_rows_scanned	target_genes_present	target_genes_total	target_gene_coverage_fraction	nonidentical_target_genes_present	nonidentical_target_genes_total	nonidentical_target_gene_coverage_fraction	broad_class_counts	matrix_nonzero_entries
GSE104323	10X_all_cells	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	raw_counts_or_reported_counts	mouse	External_Data/GEO/GSE104323/GSE104323_10X_expression_data_V2.tab.gz	24185	24185	0	27933	15624	17611	0.8871727897336892	905	1366	0.6625183016105417	dentate_candidate:9833;non_dentate_background:14352	
GSE95752	C1_all_cells	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	raw_counts_or_reported_counts	mouse	External_Data/GEO/GSE95752/GSE95752_C1_expression_data.tab.gz	2303	2303	0	16313	12964	17611	0.7361308273238317	560	1366	0.40995607613469986	dentate_candidate:987;dentate_low_support:768;other_or_ambiguous:548	
GSE292261	SS2_filtered_counts	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	raw_counts_or_reported_counts	mouse	External_Data/GEO/GSE292261/GSE292261_counts_SS2_filtered_raw.csv.gz	509	509	0	13101	10925	17611	0.6203509170404861	473	1366	0.3462664714494876	dentate_candidate:196;dentate_low_support:309;other_or_ambiguous:4	
GSE214309	snRNA_counts	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	reported_counts_symbol_rows_after_ensembl_preface	mouse	External_Data/GEO/GSE214309/GSE214309_counts.txt.gz	401	401	0	46615	14059	17611	0.7983078757594685	721	1366	0.527818448023426	dentate_candidate:146;dentate_low_support:238;other_or_ambiguous:17	
GSE122357	GSM3464549_P0	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	raw_counts_or_reported_counts	mouse	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464549_P0.csv.gz	7468	7468	0	16963	13320	17611	0.756345465901993	608	1366	0.445095168374817	broad_neuronal_structural_warning:353;cerebellar_candidate:2678;other_or_ambiguous:4437	
GSE122357	GSM3464550_P8a	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	raw_counts_or_reported_counts	mouse	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464550_P8a.csv.gz	6088	6088	0	17313	13556	17611	0.7697461813639203	628	1366	0.45973645680819913	broad_neuronal_structural_warning:319;cerebellar_candidate:2082;other_or_ambiguous:3687	
GSE122357	GSM3464551_P8b	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	raw_counts_or_reported_counts	mouse	External_Data/GEO/GSE122357/GSE122357_RAW.tar:GSM3464551_P8b.csv.gz	8168	8168	0	17321	13541	17611	0.768894440974391	624	1366	0.4568081991215227	broad_neuronal_structural_warning:499;cerebellar_candidate:2697;other_or_ambiguous:4972	
GSE165657	Cerebellum_aggr	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	raw_counts	human	External_Data/GEO/GSE165657/GSE165657_Cerebellum_aggr_matrix.mtx.gz	73550	73550	0	32738	15558	17611	0.8834251320197604	909	1366	0.6654465592972182	broad_neuronal_structural_warning:12154;cerebellar_candidate:25064;other_or_ambiguous:36332	108932951.0
GSE312658	Ctrl	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	raw_counts	mouse	External_Data/GEO/GSE312658/GSM9350909_Ctrl_matrix.mtx.gz	4857	4857	0	32285	16243	17611	0.9223212764749305	1001	1366	0.732796486090776	broad_neuronal_structural_warning:596;cerebellar_candidate:1829;other_or_ambiguous:2432	10340803.0
GSE312658	cKO	full_raw_matrix	full_matrix_mgi_one_to_one_ortholog	raw_counts	mouse	External_Data/GEO/GSE312658/GSM9350910_cKO_matrix.mtx.gz	6946	6946	0	32285	16243	17611	0.9223212764749305	1001	1366	0.732796486090776	broad_neuronal_structural_warning:1494;cerebellar_candidate:2329;other_or_ambiguous:3123	15633030.0
GSE186538	selected_bridge_all_samples	full_sparse_subset	full_human_dg_mgi_one_to_one_orthologs	raw_counts_full_dg_gc_subset	human	Project/processed/human_dg_taxonomy_sparse_objects/GSE186538/DG_GC_candidates/matrix_cells_by_genes.npz	32067	32067	0	33939	16407	17611	0.9316336380671172	990	1366	0.7247437774524158	dentate_candidate:32067	
